date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean
"2025-01-11,13:54:05",[  191] ,[ 1133] *,[  644] ,[ 1303] *,[ 1394] *,[  842] ,[  558] ,[  353] ,[ 2216] **,[  107] ,20250111_135405_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135405_foto_normalized.npy,0.10616,0.1063,0.10679
"2025-01-11,13:54:19",[  191] ,[ 1132] *,[  643] ,[ 1301] *,[ 1393] *,[  841] ,[  558] ,[  353] ,[ 2212] **,[  107] ,20250111_135419_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135419_foto_normalized.npy,0.10659,0.10686,0.10661
"2025-01-11,13:54:32",[  191] ,[ 1131] *,[  643] ,[ 1301] *,[ 1392] *,[  840] ,[  558] ,[  353] ,[ 2211] **,[  107] ,20250111_135432_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135432_foto_normalized.npy,0.107,0.10614,0.10785
"2025-01-11,13:54:51",[  192] ,[ 1133] *,[  643] ,[ 1302] *,[ 1393] *,[  840] ,[  559] ,[  354] ,[ 2214] **,[  107] ,20250111_135451_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135451_foto_normalized.npy,0.10651,0.10708,0.10789
"2025-01-11,13:55:07",[  191] ,[ 1131] *,[  643] ,[ 1301] *,[ 1392] *,[  840] ,[  558] ,[  353] ,[ 2209] **,[  107] ,20250111_135507_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135507_foto_normalized.npy,0.10624,0.10664,0.1055
"2025-01-11,13:55:19",[  191] ,[ 1132] *,[  643] ,[ 1301] *,[ 1392] *,[  840] ,[  558] ,[  354] ,[ 2211] **,[  107] ,20250111_135519_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/sesquicarbonato/numpy_files/20250111_135519_foto_normalized.npy,0.10645,0.10591,0.10696
"2025-01-11,13:05:44",[  213] ,[ 1397] *,[  748] ,[ 1543] *,[ 1633] *,[ 1071] *,[  679] ,[  428] ,[ 1722] *,[   90] ,20250111_130544_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130544_foto_normalized.npy,0.08795,0.11219,0.11551
"2025-01-11,13:06:00",[  213] ,[ 1390] *,[  747] ,[ 1533] *,[ 1624] *,[ 1064] *,[  676] ,[  426] ,[ 1716] *,[   89] ,20250111_130600_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130600_foto_normalized.npy,0.09143,0.11243,0.11704
"2025-01-11,13:06:09",[  213] ,[ 1391] *,[  747] ,[ 1533] *,[ 1623] *,[ 1063] *,[  676] ,[  425] ,[ 1716] *,[   89] ,20250111_130609_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130609_foto_normalized.npy,0.09269,0.11259,0.11605
"2025-01-11,13:06:24",[  213] ,[ 1390] *,[  746] ,[ 1531] *,[ 1621] *,[ 1063] *,[  675] ,[  425] ,[ 1714] *,[   89] ,20250111_130624_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130624_foto_normalized.npy,0.09302,0.11296,0.11726
"2025-01-11,13:06:33",[  212] ,[ 1389] *,[  746] ,[ 1531] *,[ 1620] *,[ 1062] *,[  675] ,[  425] ,[ 1714] *,[   89] ,20250111_130633_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130633_foto_normalized.npy,0.09133,0.11283,0.11745
"2025-01-11,13:06:42",[  212] ,[ 1389] *,[  746] ,[ 1530] *,[ 1620] *,[ 1062] *,[  674] ,[  425] ,[ 1713] *,[   89] ,20250111_130642_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130642_foto_normalized.npy,0.09198,0.11321,0.11732
"2025-01-11,13:06:52",[  212] ,[ 1388] *,[  746] ,[ 1530] *,[ 1620] *,[ 1062] *,[  675] ,[  425] ,[ 1713] *,[   89] ,20250111_130652_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130652_foto_normalized.npy,0.09146,0.11261,0.11698
"2025-01-11,13:07:00",[  212] ,[ 1388] *,[  746] ,[ 1529] *,[ 1620] *,[ 1062] *,[  674] ,[  425] ,[ 1714] *,[   89] ,20250111_130700_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130700_foto_normalized.npy,0.09088,0.11305,0.11621
"2025-01-11,13:07:09",[  212] ,[ 1387] *,[  745] ,[ 1529] *,[ 1619] *,[ 1061] *,[  674] ,[  425] ,[ 1712] *,[   89] ,20250111_130709_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130709_foto_normalized.npy,0.09201,0.11256,0.11688
"2025-01-11,13:07:17",[  212] ,[ 1388] *,[  745] ,[ 1528] *,[ 1619] *,[ 1061] *,[  674] ,[  425] ,[ 1712] *,[   89] ,20250111_130717_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130717_foto_normalized.npy,0.09163,0.11294,0.11673
"2025-01-11,13:07:25",[  212] ,[ 1388] *,[  745] ,[ 1528] *,[ 1619] *,[ 1061] *,[  674] ,[  425] ,[ 1713] *,[   88] ,20250111_130725_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130725_foto_normalized.npy,0.09171,0.11269,0.11728
"2025-01-11,13:07:38",[  212] ,[ 1387] *,[  745] ,[ 1528] *,[ 1618] *,[ 1060] *,[  674] ,[  424] ,[ 1710] *,[   89] ,20250111_130738_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130738_foto_normalized.npy,0.0911,0.11336,0.11744
"2025-01-11,13:07:46",[  212] ,[ 1387] *,[  745] ,[ 1528] *,[ 1618] *,[ 1061] *,[  674] ,[  424] ,[ 1712] *,[   89] ,20250111_130746_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130746_foto_normalized.npy,0.09231,0.11331,0.11776
"2025-01-11,13:07:57",[  212] ,[ 1386] *,[  745] ,[ 1527] *,[ 1617] *,[ 1060] *,[  674] ,[  424] ,[ 1711] *,[   88] ,20250111_130757_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130757_foto_normalized.npy,0.09427,0.1127,0.11729
"2025-01-11,13:08:05",[  212] ,[ 1386] *,[  745] ,[ 1527] *,[ 1616] *,[ 1059] *,[  673] ,[  424] ,[ 1710] *,[   89] ,20250111_130805_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130805_foto_normalized.npy,0.09239,0.11259,0.11702
"2025-01-11,13:08:14",[  212] ,[ 1386] *,[  745] ,[ 1527] *,[ 1616] *,[ 1060] *,[  673] ,[  424] ,[ 1711] *,[   88] ,20250111_130814_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130814_foto_normalized.npy,0.09384,0.11281,0.11724
"2025-01-11,13:08:22",[  212] ,[ 1385] *,[  745] ,[ 1526] *,[ 1616] *,[ 1059] *,[  673] ,[  424] ,[ 1710] *,[   88] ,20250111_130822_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130822_foto_normalized.npy,0.09357,0.11302,0.11694
"2025-01-11,13:08:31",[  212] ,[ 1386] *,[  744] ,[ 1525] *,[ 1616] *,[ 1059] *,[  673] ,[  424] ,[ 1709] *,[   88] ,20250111_130831_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130831_foto_normalized.npy,0.09192,0.11362,0.11676
"2025-01-11,13:08:39",[  212] ,[ 1386] *,[  744] ,[ 1526] *,[ 1615] *,[ 1059] *,[  673] ,[  424] ,[ 1709] *,[   88] ,20250111_130839_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130839_foto_normalized.npy,0.09281,0.11321,0.11693
"2025-01-11,13:08:52",[  212] ,[ 1386] *,[  744] ,[ 1526] *,[ 1615] *,[ 1059] *,[  673] ,[  424] ,[ 1709] *,[   88] ,20250111_130852_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130852_foto_normalized.npy,0.09285,0.11328,0.11733
"2025-01-11,13:09:06",[  211] ,[ 1384] *,[  743] ,[ 1523] *,[ 1613] *,[ 1057] *,[  671] ,[  423] ,[ 1705] *,[   88] ,20250111_130906_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130906_foto_normalized.npy,0.09204,0.11006,0.1129
"2025-01-11,13:09:30",[  211] ,[ 1383] *,[  743] ,[ 1523] *,[ 1613] *,[ 1057] *,[  671] ,[  423] ,[ 1709] *,[   88] ,20250111_130930_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130930_foto_normalized.npy,0.09443,0.11377,0.11717
"2025-01-11,13:09:49",[  211] ,[ 1383] *,[  743] ,[ 1523] *,[ 1612] *,[ 1057] *,[  671] ,[  423] ,[ 1710] *,[   88] ,20250111_130949_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_130949_foto_normalized.npy,0.09147,0.11355,0.11671
"2025-01-11,13:10:04",[  211] ,[ 1382] *,[  742] ,[ 1522] *,[ 1612] *,[ 1056] *,[  671] ,[  423] ,[ 1709] *,[   88] ,20250111_131004_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131004_foto_normalized.npy,0.09074,0.11357,0.11684
"2025-01-11,13:10:17",[  211] ,[ 1383] *,[  742] ,[ 1523] *,[ 1613] *,[ 1057] *,[  671] ,[  423] ,[ 1710] *,[   88] ,20250111_131017_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131017_foto_normalized.npy,0.09304,0.11393,0.1174
"2025-01-11,13:10:31",[  211] ,[ 1383] *,[  743] ,[ 1522] *,[ 1612] *,[ 1056] *,[  671] ,[  423] ,[ 1709] *,[   88] ,20250111_131031_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131031_foto_normalized.npy,0.09209,0.11229,0.11746
"2025-01-11,13:10:49",[  211] ,[ 1382] *,[  743] ,[ 1522] *,[ 1612] *,[ 1056] *,[  671] ,[  423] ,[ 1709] *,[   88] ,20250111_131049_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131049_foto_normalized.npy,0.09305,0.11373,0.11682
"2025-01-11,13:10:59",[  211] ,[ 1382] *,[  742] ,[ 1521] *,[ 1611] *,[ 1056] *,[  671] ,[  423] ,[ 1709] *,[   88] ,20250111_131059_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131059_foto_normalized.npy,0.09143,0.11306,0.11672
"2025-01-11,13:11:07",[  211] ,[ 1381] *,[  741] ,[ 1521] *,[ 1611] *,[ 1055] *,[  671] ,[  422] ,[ 1709] *,[   88] ,20250111_131107_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131107_foto_normalized.npy,0.0917,0.11292,0.11643
"2025-01-11,13:11:43",[  211] ,[ 1382] *,[  742] ,[ 1521] *,[ 1610] *,[ 1055] *,[  670] ,[  422] ,[ 1708] *,[   88] ,20250111_131143_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131143_foto_normalized.npy,0.09166,0.11273,0.11708
"2025-01-11,13:12:10",[  211] ,[ 1382] *,[  741] ,[ 1520] *,[ 1610] *,[ 1055] *,[  670] ,[  422] ,[ 1708] *,[   88] ,20250111_131210_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131210_foto_normalized.npy,0.09232,0.11245,0.11652
"2025-01-11,13:12:19",[  211] ,[ 1381] *,[  741] ,[ 1520] *,[ 1610] *,[ 1054] *,[  670] ,[  422] ,[ 1706] *,[   88] ,20250111_131219_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131219_foto_normalized.npy,0.09193,0.11328,0.11715
"2025-01-11,13:12:27",[  211] ,[ 1382] *,[  742] ,[ 1520] *,[ 1609] *,[ 1055] *,[  669] ,[  422] ,[ 1706] *,[   88] ,20250111_131227_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131227_foto_normalized.npy,0.09246,0.11256,0.11725
"2025-01-11,13:12:40",[  211] ,[ 1382] *,[  742] ,[ 1520] *,[ 1610] *,[ 1055] *,[  670] ,[  422] ,[ 1708] *,[   88] ,20250111_131240_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131240_foto_normalized.npy,0.09346,0.11291,0.11713
"2025-01-11,13:12:48",[  211] ,[ 1381] *,[  742] ,[ 1521] *,[ 1609] *,[ 1055] *,[  670] ,[  422] ,[ 1707] *,[   88] ,20250111_131248_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131248_foto_normalized.npy,0.09231,0.11347,0.11705
"2025-01-11,13:13:15",[  211] ,[ 1381] *,[  741] ,[ 1520] *,[ 1609] *,[ 1054] *,[  670] ,[  422] ,[ 1708] *,[   88] ,20250111_131315_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131315_foto_normalized.npy,0.09386,0.11204,0.11618
"2025-01-11,13:13:27",[  211] ,[ 1382] *,[  742] ,[ 1520] *,[ 1609] *,[ 1054] *,[  669] ,[  422] ,[ 1707] *,[   88] ,20250111_131327_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131327_foto_normalized.npy,0.09315,0.1125,0.11653
"2025-01-11,13:13:57",[  217] ,[ 1418] *,[  754] ,[ 1548] *,[ 1638] *,[ 1082] *,[  684] ,[  429] ,[ 1662] *,[   86] ,20250111_131357_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131357_foto_normalized.npy,0.09109,0.11436,0.11797
"2025-01-11,13:14:13",[  217] ,[ 1417] *,[  753] ,[ 1547] *,[ 1636] *,[ 1082] *,[  683] ,[  429] ,[ 1663] *,[   86] ,20250111_131413_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131413_foto_normalized.npy,0.09345,0.11329,0.11729
"2025-01-11,13:14:40",[  217] ,[ 1417] *,[  753] ,[ 1546] *,[ 1636] *,[ 1081] *,[  683] ,[  429] ,[ 1663] *,[   86] ,20250111_131440_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131440_foto_normalized.npy,0.0911,0.11349,0.11813
"2025-01-11,13:15:16",[  216] ,[ 1412] *,[  751] ,[ 1542] *,[ 1630] *,[ 1076] *,[  681] ,[  428] ,[ 1669] *,[   86] ,20250111_131516_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131516_foto_normalized.npy,0.09274,0.11364,0.11728
"2025-01-11,13:15:27",[  216] ,[ 1411] *,[  751] ,[ 1542] *,[ 1630] *,[ 1077] *,[  681] ,[  428] ,[ 1668] *,[   86] ,20250111_131527_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131527_foto_normalized.npy,0.09317,0.11492,0.11859
"2025-01-11,13:15:39",[  216] ,[ 1410] *,[  751] ,[ 1541] *,[ 1631] *,[ 1077] *,[  681] ,[  428] ,[ 1669] *,[   86] ,20250111_131539_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131539_foto_normalized.npy,0.09078,0.11473,0.11849
"2025-01-11,13:15:58",[  217] ,[ 1415] *,[  752] ,[ 1544] *,[ 1633] *,[ 1079] *,[  682] ,[  429] ,[ 1663] *,[   86] ,20250111_131558_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131558_foto_normalized.npy,0.08965,0.11415,0.11857
"2025-01-11,13:16:11",[  216] ,[ 1415] *,[  752] ,[ 1544] *,[ 1633] *,[ 1079] *,[  682] ,[  429] ,[ 1663] *,[   86] ,20250111_131611_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131611_foto_normalized.npy,0.08993,0.11356,0.11829
"2025-01-11,13:16:44",[  211] ,[ 1381] *,[  741] ,[ 1518] *,[ 1607] *,[ 1054] *,[  669] ,[  422] ,[ 1704] *,[   88] ,20250111_131644_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131644_foto_normalized.npy,0.09121,0.11478,0.11924
"2025-01-11,13:17:34",[  212] ,[ 1387] *,[  744] ,[ 1525] *,[ 1615] *,[ 1058] *,[  671] ,[  423] ,[ 1705] *,[   88] ,20250111_131734_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131734_foto_normalized.npy,0.09157,0.11335,0.11781
"2025-01-11,13:17:47",[  211] ,[ 1378] *,[  741] ,[ 1516] *,[ 1606] *,[ 1050] *,[  667] ,[  420] ,[ 1713] *,[   88] ,20250111_131747_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131747_foto_normalized.npy,0.09073,0.11362,0.11792
"2025-01-11,13:18:00",[  208] ,[ 1363] *,[  736] ,[ 1505] *,[ 1595] *,[ 1039] *,[  662] ,[  418] ,[ 1733] *,[   89] ,20250111_131800_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_131800_foto_normalized.npy,0.09028,0.11252,0.11692
"2025-01-11,13:20:24",[  208] ,[ 1361] *,[  735] ,[ 1503] *,[ 1592] *,[ 1038] *,[  660] ,[  417] ,[ 1732] *,[   89] ,20250111_132024_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132024_foto_normalized.npy,0.0915,0.11324,0.11719
"2025-01-11,13:20:32",[  206] ,[ 1349] *,[  731] ,[ 1493] *,[ 1582] *,[ 1028] *,[  655] ,[  414] ,[ 1742] *,[   90] ,20250111_132032_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132032_foto_normalized.npy,0.09036,0.11198,0.11623
"2025-01-11,13:20:42",[  206] ,[ 1350] *,[  731] ,[ 1494] *,[ 1583] *,[ 1029] *,[  656] ,[  414] ,[ 1743] *,[   90] ,20250111_132042_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132042_foto_normalized.npy,0.08942,0.11258,0.11651
"2025-01-11,13:21:01",[  206] ,[ 1347] *,[  730] ,[ 1492] *,[ 1580] *,[ 1027] *,[  654] ,[  413] ,[ 1745] *,[   90] ,20250111_132101_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132101_foto_normalized.npy,0.08928,0.11282,0.11668
"2025-01-11,13:21:17",[  206] ,[ 1346] *,[  730] ,[ 1490] *,[ 1580] *,[ 1026] *,[  654] ,[  413] ,[ 1745] *,[   90] ,20250111_132117_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132117_foto_normalized.npy,0.07544,0.10445,0.11571
"2025-01-11,13:21:39",[  206] ,[ 1346] *,[  730] ,[ 1490] *,[ 1580] *,[ 1026] *,[  654] ,[  413] ,[ 1747] *,[   90] ,20250111_132139_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132139_foto_normalized.npy,0.09029,0.1118,0.11582
"2025-01-11,13:21:48",[  206] ,[ 1345] *,[  730] ,[ 1489] *,[ 1580] *,[ 1026] *,[  654] ,[  413] ,[ 1747] *,[   90] ,20250111_132148_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132148_foto_normalized.npy,0.09124,0.11227,0.11605
"2025-01-11,13:21:58",[  206] ,[ 1346] *,[  730] ,[ 1490] *,[ 1580] *,[ 1026] *,[  654] ,[  413] ,[ 1746] *,[   90] ,20250111_132158_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132158_foto_normalized.npy,0.09039,0.11199,0.11588
"2025-01-11,13:22:07",[  205] ,[ 1345] *,[  730] ,[ 1490] *,[ 1579] *,[ 1026] *,[  654] ,[  413] ,[ 1747] *,[   90] ,20250111_132207_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132207_foto_normalized.npy,0.09182,0.11197,0.11626
"2025-01-11,13:22:15",[  206] ,[ 1345] *,[  730] ,[ 1490] *,[ 1580] *,[ 1026] *,[  654] ,[  413] ,[ 1747] *,[   90] ,20250111_132215_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132215_foto_normalized.npy,0.09088,0.11266,0.1174
"2025-01-11,13:22:26",[  206] ,[ 1345] *,[  729] ,[ 1489] *,[ 1579] *,[ 1026] *,[  654] ,[  413] ,[ 1747] *,[   90] ,20250111_132226_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132226_foto_normalized.npy,0.08872,0.11316,0.11713
"2025-01-11,13:22:35",[  205] ,[ 1344] *,[  729] ,[ 1489] *,[ 1579] *,[ 1026] *,[  654] ,[  413] ,[ 1747] *,[   90] ,20250111_132235_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132235_foto_normalized.npy,0.09182,0.11252,0.11684
"2025-01-11,13:22:50",[  205] ,[ 1345] *,[  729] ,[ 1490] *,[ 1579] *,[ 1025] *,[  654] ,[  413] ,[ 1746] *,[   90] ,20250111_132250_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132250_foto_normalized.npy,0.08963,0.11335,0.1169
"2025-01-11,13:23:01",[  205] ,[ 1344] *,[  729] ,[ 1489] *,[ 1579] *,[ 1025] *,[  654] ,[  413] ,[ 1745] *,[   90] ,20250111_132301_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132301_foto_normalized.npy,0.09051,0.11397,0.11707
"2025-01-11,13:23:12",[  205] ,[ 1344] *,[  729] ,[ 1489] *,[ 1579] *,[ 1025] *,[  654] ,[  413] ,[ 1746] *,[   90] ,20250111_132312_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132312_foto_normalized.npy,0.08898,0.1125,0.11651
"2025-01-11,13:23:23",[  205] ,[ 1344] *,[  729] ,[ 1488] *,[ 1579] *,[ 1026] *,[  654] ,[  413] ,[ 1746] *,[   90] ,20250111_132323_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132323_foto_normalized.npy,0.08871,0.11287,0.11691
"2025-01-11,13:23:31",[  205] ,[ 1344] *,[  729] ,[ 1489] *,[ 1578] *,[ 1025] *,[  654] ,[  413] ,[ 1746] *,[   90] ,20250111_132331_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132331_foto_normalized.npy,0.08948,0.11111,0.11531
"2025-01-11,13:23:40",[  205] ,[ 1344] *,[  729] ,[ 1487] *,[ 1578] *,[ 1025] *,[  653] ,[  413] ,[ 1744] *,[   90] ,20250111_132340_foto.jpg,lisina,/home/alvaro/Documents/Workspace/midi/data/static_training//camera/processing_n2/data/files_mnsb_data/lisina/numpy_files/20250111_132340_foto_normalized.npy,0.08954,0.11234,0.11586
